,i,Left Branch,Right Branch,Entropy
0,1,['Minivan'],"['Panel Truck', 'Pickup', 'SUV', 'Sports Car', 'Van']",0.9178840826669907
0,1,['Sports Car'],"['Minivan', 'Panel Truck', 'Pickup', 'SUV', 'Van']",0.9327285914531226
0,1,['SUV'],"['Minivan', 'Panel Truck', 'Pickup', 'Sports Car', 'Van']",0.9082200919984948
0,1,['Van'],"['Minivan', 'Panel Truck', 'Pickup', 'SUV', 'Sports Car']",0.9323955191521076
0,1,['Pickup'],"['Minivan', 'Panel Truck', 'SUV', 'Sports Car', 'Van']",0.9137384125251186
0,1,['Panel Truck'],"['Minivan', 'Pickup', 'SUV', 'Sports Car', 'Van']",0.8199815782178556
0,2,"['Minivan', 'Sports Car']","['Panel Truck', 'Pickup', 'SUV', 'Van']",0.8909359733630883
0,2,"['Minivan', 'SUV']","['Panel Truck', 'Pickup', 'Sports Car', 'Van']",0.8396786682820577
0,2,"['Minivan', 'Van']","['Panel Truck', 'Pickup', 'SUV', 'Sports Car']",0.9427109217261144
0,2,"['Minivan', 'Pickup']","['Panel Truck', 'SUV', 'Sports Car', 'Van']",0.948959120718966
0,2,"['Minivan', 'Panel Truck']","['Pickup', 'SUV', 'Sports Car', 'Van']",0.9477289787370192
0,2,"['SUV', 'Sports Car']","['Minivan', 'Panel Truck', 'Pickup', 'Van']",0.8786108890029112
0,2,"['Sports Car', 'Van']","['Minivan', 'Panel Truck', 'Pickup', 'SUV']",0.9489988634456474
0,2,"['Pickup', 'Sports Car']","['Minivan', 'Panel Truck', 'SUV', 'Van']",0.9436694167890972
0,2,"['Panel Truck', 'Sports Car']","['Minivan', 'Pickup', 'SUV', 'Van']",0.931400100183685
0,2,"['SUV', 'Van']","['Minivan', 'Panel Truck', 'Pickup', 'Sports Car']",0.9380290886365735
0,2,"['Pickup', 'SUV']","['Minivan', 'Panel Truck', 'Sports Car', 'Van']",0.947977240302397
0,2,"['Panel Truck', 'SUV']","['Minivan', 'Pickup', 'Sports Car', 'Van']",0.9489198022960387
0,2,"['Pickup', 'Van']","['Minivan', 'Panel Truck', 'SUV', 'Sports Car']",0.8882487115839363
0,2,"['Panel Truck', 'Van']","['Minivan', 'Pickup', 'SUV', 'Sports Car']",0.8325903463678701
0,2,"['Panel Truck', 'Pickup']","['Minivan', 'SUV', 'Sports Car', 'Van']",0.8083998007273359
0,3,"['Minivan', 'SUV', 'Sports Car']","['Panel Truck', 'Pickup', 'Van']",0.7672354798857937
0,3,"['Minivan', 'Sports Car', 'Van']","['Panel Truck', 'Pickup', 'SUV']",0.9253415439602475
0,3,"['Minivan', 'Pickup', 'Sports Car']","['Panel Truck', 'SUV', 'Van']",0.9418823094216376
