,i,Left Branch,Right Branch,Entropy
0,1,['Below High School'],"['Bachelors', 'Doctors', 'High School', 'Masters']",0.9354337466111206
0,1,['Doctors'],"['Bachelors', 'Below High School', 'High School', 'Masters']",0.9487549464256888
0,1,['High School'],"['Bachelors', 'Below High School', 'Doctors', 'Masters']",0.9337168587868148
0,1,['Bachelors'],"['Below High School', 'Doctors', 'High School', 'Masters']",0.9455408421396058
0,1,['Masters'],"['Bachelors', 'Below High School', 'Doctors', 'High School']",0.9394326902612945
0,2,"['Below High School', 'Doctors']","['Bachelors', 'High School', 'Masters']",0.9377290175266045
0,2,"['Below High School', 'High School']","['Bachelors', 'Doctors', 'Masters']",0.9478730337349759
0,2,"['Bachelors', 'Below High School']","['Doctors', 'High School', 'Masters']",0.9482432272252244
0,2,"['Below High School', 'Masters']","['Bachelors', 'Doctors', 'High School']",0.921013992038107
0,2,"['Doctors', 'High School']","['Bachelors', 'Below High School', 'Masters']",0.9375910636033801
0,2,"['Bachelors', 'Doctors']","['Below High School', 'High School', 'Masters']",0.9469636413160666
0,2,"['Doctors', 'Masters']","['Bachelors', 'Below High School', 'High School']",0.9398539355021241
0,2,"['Bachelors', 'High School']","['Below High School', 'Doctors', 'Masters']",0.920608802631198
0,2,"['High School', 'Masters']","['Bachelors', 'Below High School', 'Doctors']",0.9476902590794428
0,2,"['Bachelors', 'Masters']","['Below High School', 'Doctors', 'High School']",0.9484099670625372
0,3,"['Below High School', 'Doctors', 'High School']","['Bachelors', 'Masters']",0.9484099670625372
0,3,"['Bachelors', 'Below High School', 'Doctors']","['High School', 'Masters']",0.9476902590794428
0,3,"['Below High School', 'Doctors', 'Masters']","['Bachelors', 'High School']",0.920608802631198
0,3,"['Bachelors', 'Below High School', 'High School']","['Doctors', 'Masters']",0.9398539355021241
0,3,"['Below High School', 'High School', 'Masters']","['Bachelors', 'Doctors']",0.9469636413160666
0,3,"['Bachelors', 'Below High School', 'Masters']","['Doctors', 'High School']",0.9375910636033801
0,3,"['Bachelors', 'Doctors', 'High School']","['Below High School', 'Masters']",0.921013992038107
0,3,"['Doctors', 'High School', 'Masters']","['Bachelors', 'Below High School']",0.9482432272252244
0,3,"['Bachelors', 'Doctors', 'Masters']","['Below High School', 'High School']",0.9478730337349759
0,3,"['Bachelors', 'High School', 'Masters']","['Below High School', 'Doctors']",0.9377290175266045
0,4,"['Bachelors', 'Below High School', 'Doctors', 'High School']",['Masters'],0.9394326902612945
0,4,"['Below High School', 'Doctors', 'High School', 'Masters']",['Bachelors'],0.9455408421396058
0,4,"['Bachelors', 'Below High School', 'Doctors', 'Masters']",['High School'],0.9337168587868148
0,4,"['Bachelors', 'Below High School', 'High School', 'Masters']",['Doctors'],0.9487549464256888
0,4,"['Bachelors', 'Doctors', 'High School', 'Masters']",['Below High School'],0.9354337466111206
